tic,time,open,high,low,close,volume,day
688567.sh,2021-01-28,37.35,39.38,36.7,37.37,51258,3
688567.sh,2021-01-29,37.6,39.24,37.0,37.46,79671,4
688567.sh,2021-02-01,37.08,39.1,36.9,38.05,41975,0
688567.sh,2021-02-02,37.71,38.04,35.0,35.79,110600,1
688567.sh,2021-02-03,35.2,35.96,31.8,33.68,206191,2
688567.sh,2021-02-04,33.8,34.0,30.88,31.54,111963,3
688567.sh,2021-02-05,31.8,32.66,29.73,29.84,98583,4
688567.sh,2021-02-08,29.64,30.99,29.35,30.4,49206,0
688567.sh,2021-02-09,30.08,32.14,30.08,31.2,69222,1
688567.sh,2021-02-10,31.3,33.33,31.3,32.17,71737,2
688567.sh,2021-02-18,33.94,33.94,30.71,31.49,65632,3
688567.sh,2021-02-19,31.76,31.92,30.93,31.79,38901,4
688567.sh,2021-02-22,31.98,32.66,31.54,31.93,51042,0
688567.sh,2021-02-23,31.57,32.89,31.33,32.49,56822,1
688567.sh,2021-02-24,32.54,33.4,31.21,31.6,51849,2
688567.sh,2021-02-25,32.18,32.18,29.87,29.94,72664,3
688567.sh,2021-02-26,29.11,30.88,27.84,30.37,66711,4
688567.sh,2021-03-01,30.36,33.5,30.03,33.21,99761,0
688567.sh,2021-03-02,33.64,34.15,32.98,33.89,57615,1
688567.sh,2021-03-03,33.7,34.92,33.6,34.39,43287,2
688567.sh,2021-03-04,33.99,34.35,32.58,32.9,50145,3
688567.sh,2021-03-05,32.25,33.7,32.23,33.3,37772,4
688567.sh,2021-03-08,33.4,34.25,32.71,32.75,49021,0
688567.sh,2021-03-09,32.85,33.95,30.63,32.6,45517,1
688567.sh,2021-03-10,33.5,33.91,32.76,33.04,45398,2
688567.sh,2021-03-11,33.37,33.88,32.58,33.72,58312,3
688567.sh,2021-03-12,33.73,34.86,32.89,32.89,81641,4
688567.sh,2021-03-15,32.7,32.87,31.31,31.5,57749,0
688567.sh,2021-03-16,31.5,31.89,30.5,30.75,45127,1
688567.sh,2021-03-17,30.65,31.28,30.21,30.83,34877,2
688567.sh,2021-03-18,30.9,31.5,28.63,29.0,87397,3
688567.sh,2021-03-19,28.28,30.82,28.21,29.0,67376,4
688567.sh,2021-03-22,29.38,29.63,28.29,28.38,52508,0
688567.sh,2021-03-23,28.44,28.62,27.1,27.51,52763,1
688567.sh,2021-03-24,25.0,27.15,24.8,25.89,88483,2
