tic,time,open,high,low,close,volume,day
002460.sz,2019-12-25,33.82,34.7,33.35,34.24,498659,2
002460.sz,2019-12-26,34.4,36.18,34.1,35.24,536801,3
002460.sz,2019-12-27,35.4,36.15,34.15,34.18,635273,4
002460.sz,2019-12-30,34.16,34.85,33.68,34.25,408712,0
002460.sz,2019-12-31,34.25,35.74,33.98,34.83,417102,1
002460.sz,2020-01-02,35.05,35.78,34.33,35.46,441533,3
002460.sz,2020-01-03,35.28,37.01,34.87,36.38,536578,4
002460.sz,2020-01-06,36.41,40.02,36.41,40.0,961275,0
002460.sz,2020-01-07,39.2,40.22,39.01,39.98,578104,1
002460.sz,2020-01-08,40.03,42.56,38.75,40.66,850346,2
002460.sz,2020-01-09,41.5,41.7,40.0,40.89,451568,3
002460.sz,2020-01-10,40.2,41.48,39.67,41.08,460877,4
002460.sz,2020-01-13,41.8,42.39,40.81,41.58,403600,0
002460.sz,2020-01-14,42.45,44.97,42.0,43.41,607636,1
002460.sz,2020-01-15,42.92,43.3,40.61,42.1,509522,2
002460.sz,2020-01-16,41.78,42.98,41.08,41.79,383866,3
002460.sz,2020-01-17,41.49,42.3,41.17,41.84,367475,4
002460.sz,2020-01-20,41.56,43.29,40.6,42.56,407137,0
002460.sz,2020-01-21,42.02,42.67,41.27,41.3,292550,1
002460.sz,2020-01-22,41.2,44.44,41.15,43.65,605510,2
002460.sz,2020-01-23,43.49,45.3,40.85,43.37,590399,3
002460.sz,2020-02-03,39.03,40.99,39.03,39.03,585891,0
002460.sz,2020-02-04,40.98,42.93,40.03,42.93,688621,1
002460.sz,2020-02-05,45.1,47.22,44.52,45.7,904906,2
002460.sz,2020-02-06,43.35,47.52,43.15,46.93,745216,3
002460.sz,2020-02-07,46.1,47.47,45.03,46.94,472808,4
002460.sz,2020-02-10,46.6,51.63,46.6,51.63,680223,0
002460.sz,2020-02-11,54.2,54.58,51.1,53.13,757975,1
002460.sz,2020-02-12,52.05,58.44,52.04,58.44,495623,2
002460.sz,2020-02-13,61.36,64.26,58.42,59.49,981344,3
002460.sz,2020-02-14,60.86,62.36,57.45,57.78,772018,4
002460.sz,2020-02-17,57.77,62.01,57.71,62.0,634669,0
002460.sz,2020-02-18,61.8,63.0,57.5,60.22,742147,1
002460.sz,2020-02-19,61.5,62.66,57.95,58.33,679910,2
002460.sz,2020-02-20,59.6,59.99,57.0,58.87,580228,3
002460.sz,2020-02-21,58.39,59.28,57.4,57.68,609376,4
002460.sz,2020-02-24,56.5,56.86,52.0,54.99,938421,0
002460.sz,2020-02-25,53.96,60.49,53.77,60.49,825477,1
002460.sz,2020-02-26,61.18,63.21,57.9,59.07,973550,2
002460.sz,2020-02-27,60.5,60.5,56.0,56.53,558832,3
002460.sz,2020-02-28,53.41,55.1,51.0,51.98,673314,4
002460.sz,2020-03-02,53.18,54.69,51.15,53.3,545613,0
002460.sz,2020-03-03,55.04,57.75,54.16,54.75,537488,1
002460.sz,2020-03-04,54.65,55.84,53.22,55.08,372264,2
002460.sz,2020-03-05,55.5,55.88,52.9,54.05,407499,3
002460.sz,2020-03-06,52.25,56.5,52.12,54.2,433652,4
002460.sz,2020-03-09,52.4,53.87,49.65,50.15,512193,0
002460.sz,2020-03-10,50.0,52.48,48.51,52.31,471326,1
