tic,time,open,high,low,close,volume,day
300750.sz,2018-10-15,68.8,69.15,67.88,69.15,198015,0
300750.sz,2018-10-16,70.0,70.36,67.94,68.85,104522,1
300750.sz,2018-10-17,69.77,71.78,69.21,70.0,142322,2
300750.sz,2018-10-18,68.7,71.4,65.52,68.03,108109,3
300750.sz,2018-10-19,67.01,74.26,67.01,73.77,141251,4
300750.sz,2018-10-22,74.09,81.1,74.09,79.1,181064,0
300750.sz,2018-10-23,78.1,79.96,76.1,78.0,127366,1
300750.sz,2018-10-24,77.84,79.47,76.12,77.0,100428,2
300750.sz,2018-10-25,75.0,81.58,74.51,80.91,133722,3
300750.sz,2018-10-26,80.69,80.69,73.01,74.6,176917,4
300750.sz,2018-10-29,74.94,75.4,70.6,70.76,127198,0
300750.sz,2018-10-30,70.65,75.35,69.88,75.0,128876,1
300750.sz,2018-10-31,75.29,77.43,74.2,74.5,97944,2
300750.sz,2018-11-01,75.2,76.82,73.21,73.61,97240,3
300750.sz,2018-11-02,76.14,78.63,76.05,78.48,137059,4
300750.sz,2018-11-05,78.48,82.48,77.8,79.39,130635,0
300750.sz,2018-11-06,79.03,82.4,76.0,81.57,121658,1
300750.sz,2018-11-07,80.2,82.38,78.21,79.04,126587,2
300750.sz,2018-11-08,79.84,80.38,76.89,77.31,80449,3
300750.sz,2018-11-09,77.0,79.05,76.66,77.75,60639,4
300750.sz,2018-11-12,77.0,83.8,76.7,83.25,148899,0
300750.sz,2018-11-13,82.0,82.51,79.8,81.63,142870,1
300750.sz,2018-11-14,80.41,83.0,79.75,81.0,107907,2
300750.sz,2018-11-15,80.41,82.2,79.9,81.35,75769,3
300750.sz,2018-11-16,81.68,81.76,78.62,80.11,98094,4
300750.sz,2018-11-19,79.59,81.48,79.0,79.35,72590,0
300750.sz,2018-11-20,78.71,79.2,77.56,77.77,77221,1
300750.sz,2018-11-21,77.5,79.75,76.5,78.65,73148,2
300750.sz,2018-11-22,78.2,79.44,77.6,77.91,40718,3
300750.sz,2018-11-23,77.91,77.95,73.9,73.98,104037,4
300750.sz,2018-11-26,73.8,74.88,72.8,74.62,76100,0
300750.sz,2018-11-27,74.68,76.85,73.76,75.6,79533,1
300750.sz,2018-11-28,75.75,79.48,75.25,78.68,99188,2
300750.sz,2018-11-29,79.5,81.5,78.03,78.03,97363,3
300750.sz,2018-11-30,78.01,80.99,78.01,80.03,90676,4
300750.sz,2018-12-03,82.52,83.49,80.56,80.85,126452,0
300750.sz,2018-12-04,80.2,83.08,80.04,82.3,95797,1
300750.sz,2018-12-05,81.0,82.6,80.6,81.37,73916,2
300750.sz,2018-12-06,80.8,82.28,79.0,79.01,113854,3
300750.sz,2018-12-07,79.18,80.46,79.18,79.7,56421,4
300750.sz,2018-12-10,79.45,80.37,76.8,78.29,76068,0
300750.sz,2018-12-11,78.5,79.18,77.82,78.56,34501,1
300750.sz,2018-12-12,79.34,81.98,79.0,81.5,94725,2
300750.sz,2018-12-13,81.92,82.27,80.58,82.11,72444,3
300750.sz,2018-12-14,81.93,82.48,79.31,79.34,70905,4
300750.sz,2018-12-17,78.8,80.49,77.0,80.16,68645,0
300750.sz,2018-12-18,79.0,80.59,78.68,79.55,48856,1
300750.sz,2018-12-19,79.16,81.7,78.34,79.5,70927,2
300750.sz,2018-12-20,79.38,79.39,76.23,77.34,97737,3
300750.sz,2018-12-21,77.54,78.5,75.6,78.5,88737,4
300750.sz,2018-12-24,77.68,79.24,77.01,78.03,59388,0
300750.sz,2018-12-25,77.04,77.74,75.65,77.2,65883,1
300750.sz,2018-12-26,77.2,77.9,75.53,75.9,49253,2
300750.sz,2018-12-27,77.2,77.48,75.78,75.78,48815,3
